wl_position,days_before_travel,class_type,train_type,route_demand_score,season_index,day_of_week,confirmed
15,51,3A,Mail,0.7818,0.8186,Wed,1
47,5,3A,Rajdhani,0.933,0.8555,Fri,1
51,22,1A,Duronto,0.0859,0.4476,Wed,0
44,41,3A,Mail,0.1878,0.9666,Mon,0
55,23,2A,Mail,0.9262,0.9315,Mon,0
52,115,1A,Express,0.7506,0.3813,Sun,0
57,112,3A,Duronto,0.4171,0.5071,Sat,1
3,4,1A,Express,0.1384,0.4708,Wed,1
37,31,3A,Mail,0.8373,0.9697,Sat,0
51,45,SL,Superfast,0.3108,0.804,Fri,0
7,16,2A,Duronto,0.834,0.5188,Sat,1
21,74,2A,Express,0.5572,0.0265,Fri,0
9,26,2A,Rajdhani,0.5369,0.0341,Mon,1
39,67,SL,Superfast,0.6026,0.2398,Wed,0
18,22,2A,Express,0.4197,0.7131,Mon,0
4,86,2A,Duronto,0.11,0.2924,Thu,1
25,112,1A,Rajdhani,0.5858,0.036,Sun,1
60,120,1A,Superfast,0.4216,0.6889,Tue,0
14,33,3A,Mail,0.4592,0.568,Fri,1
50,20,2A,Express,0.6003,0.9005,Wed,0
58,21,3A,Superfast,0.142,0.9071,Thu,0
9,64,1A,Mail,0.2394,0.9945,Thu,1
26,31,SL,Duronto,0.2873,0.2985,Thu,1
53,61,1A,Duronto,0.3772,0.2964,Sat,0
2,27,3A,Mail,0.0974,0.9794,Fri,1
20,81,SL,Superfast,0.1564,0.9725,Mon,1
28,6,SL,Express,0.255,0.2019,Wed,0
47,53,SL,Duronto,0.6947,0.4658,Thu,0
60,101,3A,Duronto,0.6706,0.5557,Tue,0
7,69,SL,Superfast,0.0092,0.916,Mon,1
44,13,1A,Duronto,0.0707,0.1232,Fri,0
8,93,1A,Rajdhani,0.499,0.2767,Wed,1
47,54,3A,Mail,0.4251,0.2677,Tue,0
35,57,1A,Express,0.2943,0.9293,Fri,0
14,43,3A,Superfast,0.5007,0.16,Sun,1
17,45,3A,Rajdhani,0.2,0.5548,Mon,0
36,13,SL,Duronto,0.1352,0.6282,Fri,1
50,43,3A,Duronto,0.0697,0.4265,Tue,0
40,40,1A,Rajdhani,0.0717,0.0143,Wed,0
4,72,3A,Duronto,0.1977,0.0962,Tue,1
2,94,SL,Mail,0.791,0.3496,Sat,1
6,1,3A,Duronto,0.8026,0.8399,Thu,1
54,81,SL,Express,0.9125,0.2622,Fri,0
42,4,SL,Mail,0.6612,0.2476,Sun,0
4,89,SL,Superfast,0.3759,0.9938,Sat,1
54,86,3A,Mail,0.1286,0.8382,Sun,0
29,11,3A,Superfast,0.2191,0.2163,Fri,0
18,77,2A,Superfast,0.4396,0.1814,Thu,0
26,76,2A,Mail,0.2492,0.6715,Wed,0
44,98,2A,Express,0.3151,0.5387,Tue,0
34,46,SL,Duronto,0.9441,0.1011,Sun,0
10,78,1A,Mail,0.3859,0.1252,Thu,1
36,34,2A,Superfast,0.1531,0.5399,Thu,0
14,115,3A,Mail,0.346,0.5419,Wed,0
31,18,SL,Superfast,0.0382,0.7401,Sun,0
48,78,SL,Superfast,0.6167,0.2736,Sun,0
15,62,3A,Rajdhani,0.7206,0.4138,Fri,1
8,114,2A,Express,0.4034,0.9787,Tue,0
14,7,2A,Express,0.5512,0.9223,Sun,1
23,22,1A,Superfast,0.8739,0.6192,Sun,0
60,12,3A,Superfast,0.2057,0.7526,Sun,0
57,22,3A,Duronto,0.1646,0.8913,Fri,0
40,30,2A,Superfast,0.2587,0.5664,Tue,1
21,29,1A,Superfast,0.2193,0.9738,Fri,0
16,41,1A,Express,0.8754,0.2667,Tue,0
45,1,3A,Superfast,0.0458,0.1705,Wed,0
18,10,2A,Duronto,0.0843,0.5264,Sun,0
47,24,3A,Rajdhani,0.9406,0.426,Fri,0
53,28,2A,Rajdhani,0.3924,0.4767,Fri,0
24,21,3A,Duronto,0.4955,0.0965,Tue,1
26,18,SL,Superfast,0.5801,0.9702,Wed,0
25,72,SL,Duronto,0.7824,0.5581,Thu,1
60,40,1A,Rajdhani,0.712,0.8508,Sat,0
60,37,SL,Express,0.3725,0.6831,Mon,0
60,28,3A,Superfast,0.8017,0.1802,Sat,0
45,73,2A,Superfast,0.7466,0.4145,Fri,0
41,21,2A,Mail,0.8789,0.0402,Mon,0
29,87,2A,Superfast,0.2519,0.4977,Sun,0
15,7,SL,Mail,0.0949,0.1747,Fri,0
45,46,SL,Mail,0.1058,0.0105,Mon,0
1,5,2A,Express,0.5447,0.7243,Tue,1
25,6,3A,Mail,0.262,0.8772,Fri,0
7,83,3A,Mail,0.0448,0.6307,Sun,0
9,80,1A,Mail,0.8368,0.1697,Tue,1
24,35,2A,Mail,0.8624,0.3568,Tue,1
1,7,2A,Mail,0.3668,0.1523,Thu,0
44,76,3A,Duronto,0.1313,0.2952,Sat,0
8,87,2A,Mail,0.2487,0.484,Sat,1
24,45,1A,Duronto,0.6776,0.354,Sun,0
11,113,3A,Duronto,0.6878,0.7643,Wed,1
51,63,3A,Duronto,0.7018,0.4247,Sun,0
17,30,SL,Superfast,0.8551,0.1186,Fri,1
8,22,1A,Duronto,0.8839,0.5764,Thu,0
35,60,SL,Superfast,0.9894,0.4717,Fri,1
35,80,1A,Duronto,0.3532,0.2468,Tue,0
33,49,SL,Duronto,0.9126,0.6021,Thu,1
59,45,2A,Duronto,0.642,0.2796,Sun,0
5,87,3A,Express,0.1224,0.6411,Wed,1
42,42,2A,Superfast,0.5932,0.2408,Sat,0
39,9,2A,Superfast,0.379,0.0137,Sat,0
58,94,1A,Express,0.0738,0.8189,Fri,0
41,108,1A,Mail,0.2471,0.5627,Thu,0
28,19,1A,Duronto,0.713,0.5715,Fri,0
7,15,2A,Rajdhani,0.348,0.0038,Tue,1
9,77,3A,Superfast,0.6455,0.1566,Mon,1
8,2,SL,Superfast,0.9088,0.4124,Wed,1
12,29,1A,Rajdhani,0.5904,0.9654,Mon,0
34,17,3A,Rajdhani,0.9532,0.7226,Sun,1
33,58,3A,Rajdhani,0.3433,0.1398,Wed,1
48,69,1A,Express,0.8763,0.4507,Sat,0
55,83,2A,Duronto,0.9634,0.5417,Thu,0
23,34,2A,Duronto,0.518,0.4007,Sun,0
24,18,SL,Rajdhani,0.3637,0.1697,Sun,0
37,25,3A,Mail,0.3509,0.653,Sat,0
35,34,SL,Duronto,0.4242,0.4889,Tue,0
44,75,2A,Mail,0.6608,0.9433,Fri,0
40,71,2A,Duronto,0.4387,0.7054,Fri,0
22,120,SL,Mail,0.7629,0.1322,Fri,0
27,56,SL,Express,0.6904,0.2817,Fri,0
35,100,3A,Duronto,0.3252,0.4542,Thu,0
1,48,SL,Duronto,0.8058,0.5586,Mon,1
35,9,SL,Superfast,0.7579,0.5668,Mon,0
37,84,3A,Duronto,0.618,0.4533,Thu,0
47,112,2A,Superfast,0.1869,0.8758,Fri,1
14,104,3A,Rajdhani,0.5062,0.3912,Thu,1
3,108,2A,Superfast,0.4527,0.7738,Wed,1
1,105,2A,Rajdhani,0.0199,0.3497,Fri,1
5,28,SL,Duronto,0.9915,0.2862,Fri,1
26,94,1A,Superfast,0.7082,0.3459,Thu,0
55,103,SL,Rajdhani,0.3699,0.6768,Tue,0
14,70,1A,Superfast,0.5771,0.3819,Wed,0
39,97,1A,Rajdhani,0.8907,0.1944,Mon,0
27,97,SL,Superfast,0.0379,0.57,Tue,0
9,93,SL,Rajdhani,0.2588,0.1523,Tue,1
15,67,SL,Mail,0.9479,0.5834,Wed,1
15,104,1A,Duronto,0.0157,0.5606,Wed,1
26,93,2A,Duronto,0.5811,0.9775,Mon,1
42,88,1A,Superfast,0.5365,0.1802,Sat,0
60,77,3A,Rajdhani,0.98,0.9968,Sat,0
13,23,SL,Mail,0.43,0.1479,Mon,0
51,42,1A,Duronto,0.9758,0.8467,Mon,1
32,94,1A,Superfast,0.0117,0.8487,Sat,1
39,116,2A,Duronto,0.3395,0.235,Sat,0
49,38,SL,Mail,0.2691,0.0773,Mon,0
52,91,3A,Duronto,0.1462,0.2076,Sat,0
32,24,2A,Express,0.9958,0.3636,Thu,0
4,82,1A,Mail,0.9721,0.4369,Mon,0
30,67,1A,Rajdhani,0.144,0.6402,Sat,0
37,33,3A,Mail,0.5232,0.6035,Wed,0
23,95,1A,Superfast,0.0955,0.7504,Sat,1
39,88,1A,Rajdhani,0.1238,0.6984,Thu,1
45,118,SL,Duronto,0.7091,0.0244,Fri,0
15,85,2A,Mail,0.867,0.7651,Mon,0
43,52,3A,Rajdhani,0.6047,0.5535,Sun,0
29,91,SL,Duronto,0.1126,0.9439,Sun,0
36,54,SL,Mail,0.8258,0.2839,Sun,0
13,114,2A,Rajdhani,0.8632,0.3407,Sun,1
32,52,SL,Superfast,0.5601,0.3675,Wed,0
7,17,1A,Duronto,0.4169,0.6406,Wed,1
59,116,3A,Duronto,0.4078,0.3374,Sun,1
51,6,SL,Superfast,0.661,0.308,Mon,0
22,62,3A,Superfast,0.9151,0.1833,Wed,1
28,74,3A,Superfast,0.9077,0.3475,Mon,0
2,41,3A,Rajdhani,0.7851,0.7098,Mon,1
42,10,1A,Superfast,0.354,0.3156,Tue,0
45,118,3A,Express,0.403,0.7275,Thu,0
57,8,2A,Rajdhani,0.727,0.4194,Thu,0
53,34,3A,Superfast,0.6926,0.7138,Fri,0
6,119,1A,Superfast,0.9183,0.8855,Wed,1
28,100,1A,Express,0.7922,0.0364,Mon,0
28,86,2A,Mail,0.9786,0.3537,Mon,0
44,96,2A,Superfast,0.2215,0.3758,Tue,1
44,64,1A,Duronto,0.9226,0.5736,Wed,0
20,83,1A,Superfast,0.9741,0.5055,Fri,1
30,4,2A,Rajdhani,0.9052,0.6853,Mon,0
11,92,1A,Rajdhani,0.1412,0.0056,Wed,0
58,25,SL,Superfast,0.9414,0.9212,Thu,0
55,50,3A,Rajdhani,0.7578,0.5775,Sun,1
28,37,1A,Duronto,0.3617,0.6709,Thu,0
25,2,1A,Superfast,0.4553,0.3546,Sun,1
39,84,1A,Duronto,0.065,0.2362,Fri,0
33,58,SL,Express,0.4124,0.6873,Sun,0
1,12,3A,Mail,0.2473,0.8839,Mon,1
57,94,2A,Express,0.7194,0.192,Tue,0
27,80,SL,Superfast,0.5649,0.9583,Fri,1
57,34,SL,Mail,0.934,0.1888,Thu,0
52,86,2A,Superfast,0.619,0.4961,Sun,0
13,2,2A,Mail,0.7779,0.2906,Fri,0
41,52,1A,Superfast,0.8127,0.63,Tue,0
3,54,2A,Mail,0.0673,0.1116,Sat,1
39,44,SL,Duronto,0.8208,0.0012,Mon,0
6,65,1A,Rajdhani,0.1638,0.7753,Sun,1
8,66,2A,Superfast,0.2202,0.8276,Wed,1
27,83,SL,Express,0.5017,0.5067,Thu,0
9,111,3A,Express,0.466,0.479,Sat,1
37,116,2A,Superfast,0.9538,0.066,Wed,0
33,43,SL,Duronto,0.4463,0.8424,Sun,0
51,120,1A,Superfast,0.4206,0.7969,Sun,0
42,72,2A,Mail,0.8206,0.8278,Wed,1
44,111,2A,Rajdhani,0.2938,0.235,Wed,0
24,67,1A,Duronto,0.7991,0.5549,Wed,0
15,61,1A,Rajdhani,0.2454,0.8265,Tue,0
59,24,SL,Express,0.4052,0.293,Wed,0
54,51,1A,Rajdhani,0.9133,0.868,Sun,1
32,49,SL,Rajdhani,0.4728,0.6351,Mon,1
32,0,SL,Superfast,0.9309,0.4317,Mon,1
24,38,1A,Express,0.378,0.3939,Tue,1
41,51,2A,Rajdhani,0.0875,0.7953,Tue,0
52,75,1A,Mail,0.763,0.9308,Thu,0
49,39,1A,Rajdhani,0.2482,0.0241,Tue,0
49,103,3A,Superfast,0.7486,0.0813,Tue,0
58,59,3A,Duronto,0.5762,0.9303,Thu,0
52,87,1A,Duronto,0.9746,0.9087,Tue,0
12,117,2A,Duronto,0.4259,0.9048,Fri,1
39,72,2A,Mail,0.8948,0.9846,Mon,0
2,109,SL,Rajdhani,0.7238,0.8513,Tue,1
3,83,1A,Express,0.1452,0.0804,Sun,1
49,68,1A,Rajdhani,0.7122,0.4957,Tue,0
37,19,3A,Duronto,0.6376,0.5484,Thu,1
49,84,3A,Duronto,0.9779,0.8575,Mon,0
56,1,3A,Express,0.4571,0.7443,Mon,1
17,84,SL,Rajdhani,0.5555,0.9446,Fri,1
59,105,1A,Duronto,0.7096,0.0497,Fri,0
49,87,3A,Express,0.6081,0.0403,Tue,0
2,8,1A,Superfast,0.6154,0.9328,Sat,0
2,38,SL,Duronto,0.4518,0.8249,Tue,1
28,118,2A,Superfast,0.771,0.8725,Mon,0
54,29,SL,Rajdhani,0.0095,0.9235,Sun,0
23,53,1A,Mail,0.1574,0.7298,Thu,0
37,81,1A,Rajdhani,0.8519,0.6729,Fri,1
32,57,1A,Mail,0.931,0.1992,Mon,0
33,43,2A,Express,0.7387,0.4678,Wed,0
1,42,1A,Mail,0.1573,0.9358,Fri,1
19,9,3A,Express,0.5797,0.3324,Sun,0
2,108,2A,Duronto,0.2798,0.3788,Thu,1
53,104,2A,Rajdhani,0.5618,0.1443,Fri,0
44,47,2A,Express,0.2049,0.5657,Fri,0
26,84,SL,Rajdhani,0.1372,0.2003,Thu,1
32,85,SL,Rajdhani,0.1926,0.7079,Wed,0
6,16,SL,Express,0.8929,0.8949,Sun,1
32,4,2A,Express,0.058,0.9576,Sat,0
55,69,2A,Mail,0.0349,0.5836,Mon,0
4,73,1A,Duronto,0.1906,0.2009,Wed,1
55,63,2A,Duronto,0.5671,0.7912,Mon,0
11,106,3A,Superfast,0.0892,0.0745,Tue,0
56,65,SL,Mail,0.5194,0.7044,Fri,0
59,70,1A,Mail,0.72,0.6348,Sun,0
17,109,3A,Rajdhani,0.54,0.2993,Thu,1
38,3,3A,Rajdhani,0.7669,0.8414,Wed,1
24,100,3A,Express,0.5198,0.1701,Thu,0
5,82,2A,Superfast,0.0909,0.9189,Wed,1
52,116,SL,Rajdhani,0.6693,0.1948,Mon,0
34,27,3A,Mail,0.3275,0.4819,Sat,0
6,83,1A,Superfast,0.52,0.8494,Sat,0
22,93,SL,Mail,0.9948,0.3398,Tue,1
11,105,SL,Mail,0.2747,0.9618,Sun,0
48,37,2A,Mail,0.8211,0.5118,Sun,0
16,65,3A,Duronto,0.5643,0.3871,Thu,1
33,66,1A,Mail,0.9157,0.4208,Wed,0
9,59,2A,Duronto,0.9106,0.0922,Wed,1
60,46,SL,Rajdhani,0.7144,0.3386,Sat,0
59,105,3A,Mail,0.3045,0.2656,Sat,0
6,112,SL,Express,0.9511,0.0397,Mon,1
16,102,SL,Express,0.8354,0.9513,Thu,1
29,24,2A,Duronto,0.9667,0.3373,Fri,0
3,65,1A,Duronto,0.97,0.2451,Wed,1
20,102,3A,Superfast,0.4402,0.8212,Sat,1
60,78,2A,Mail,0.0978,0.1296,Mon,0
59,66,1A,Mail,0.5058,0.7593,Tue,0
36,68,2A,Mail,0.1215,0.8932,Sat,1
19,117,1A,Mail,0.4905,0.3056,Sun,0
26,39,SL,Superfast,0.5489,0.6471,Mon,1
3,99,3A,Rajdhani,0.5769,0.3157,Sat,1
19,49,3A,Duronto,0.0091,0.5194,Sat,0
20,114,3A,Duronto,0.8564,0.2848,Sun,1
32,39,2A,Express,0.4584,0.4145,Tue,0
7,118,2A,Mail,0.7077,0.6571,Fri,0
52,101,1A,Duronto,0.1099,0.5995,Fri,0
41,36,2A,Express,0.7451,0.0506,Thu,1
33,90,SL,Superfast,0.4414,0.4658,Fri,1
40,68,1A,Express,0.7407,0.1174,Wed,0
39,16,2A,Mail,0.9256,0.3469,Sat,0
18,61,3A,Express,0.7309,0.8945,Fri,1
40,101,SL,Mail,0.6149,0.0111,Wed,0
1,108,3A,Superfast,0.7066,0.2711,Wed,1
11,40,1A,Superfast,0.7402,0.5583,Sat,1
28,119,1A,Superfast,0.502,0.3198,Sat,0
57,75,2A,Express,0.8358,0.6044,Fri,0
25,41,1A,Mail,0.5545,0.4737,Thu,0
50,30,1A,Duronto,0.6327,0.4422,Mon,0
23,32,3A,Mail,0.4235,0.7765,Sat,0
31,42,1A,Express,0.9529,0.1657,Wed,0
30,92,SL,Superfast,0.5151,0.6889,Sat,1
42,101,2A,Rajdhani,0.2132,0.6601,Fri,1
35,66,1A,Duronto,0.3185,0.8468,Sat,0
7,37,SL,Mail,0.1478,0.3273,Mon,1
60,40,2A,Mail,0.1251,0.6894,Sat,0
16,117,SL,Rajdhani,0.9312,0.6969,Thu,0
26,62,SL,Superfast,0.665,0.4777,Thu,0
48,39,1A,Rajdhani,0.0006,0.4405,Mon,0
57,29,3A,Superfast,0.8125,0.7069,Tue,0
52,46,2A,Mail,0.5308,0.4683,Tue,0
60,21,1A,Superfast,0.1095,0.1763,Wed,0
49,101,1A,Duronto,0.4533,0.8151,Sat,0
2,95,2A,Express,0.3658,0.2037,Tue,0
1,54,2A,Express,0.3203,0.185,Wed,0
48,42,1A,Superfast,0.4632,0.7374,Thu,0
12,60,SL,Mail,0.6406,0.2311,Fri,1
5,73,3A,Mail,0.5368,0.2321,Mon,1
37,31,3A,Superfast,0.2819,0.6758,Sat,1
32,106,2A,Rajdhani,0.7236,0.0578,Mon,0
59,3,2A,Rajdhani,0.9887,0.2221,Mon,0
55,92,SL,Rajdhani,0.966,0.4383,Thu,0
9,44,SL,Mail,0.9966,0.2858,Fri,1
41,71,1A,Superfast,0.4873,0.6429,Sun,0
35,19,SL,Superfast,0.0433,0.0869,Mon,0
19,110,3A,Mail,0.7285,0.4045,Sat,1
48,70,SL,Superfast,0.6636,0.6866,Wed,0
16,64,SL,Duronto,0.967,0.7719,Thu,0
3,59,SL,Rajdhani,0.371,0.7802,Wed,1
20,88,2A,Superfast,0.9941,0.4326,Sat,1
24,25,SL,Mail,0.0657,0.313,Wed,1
54,72,2A,Superfast,0.359,0.6781,Sun,0
56,22,3A,Mail,0.7401,0.2445,Fri,0
33,39,3A,Superfast,0.6152,0.9097,Tue,0
24,1,2A,Express,0.2058,0.1998,Sun,0
52,25,2A,Duronto,0.3572,0.3436,Tue,0
11,77,SL,Express,0.1623,0.0441,Fri,1
49,61,SL,Superfast,0.9945,0.0273,Tue,0
8,43,3A,Mail,0.5144,0.7222,Fri,1
36,30,3A,Superfast,0.8672,0.8023,Sat,0
38,25,3A,Mail,0.3939,0.1394,Wed,0
40,118,3A,Rajdhani,0.2441,0.2736,Mon,1
20,112,1A,Rajdhani,0.4879,0.1631,Wed,1
35,82,SL,Superfast,0.7694,0.2463,Tue,0
48,101,SL,Rajdhani,0.9101,0.2672,Mon,0
25,116,1A,Superfast,0.1929,0.7917,Wed,0
35,4,3A,Rajdhani,0.1279,0.1222,Tue,0
25,120,SL,Duronto,0.1611,0.6,Tue,0
29,69,SL,Express,0.3034,0.2692,Tue,0
18,34,2A,Rajdhani,0.5987,0.4835,Fri,0
46,15,1A,Duronto,0.7376,0.2867,Sun,0
18,30,2A,Express,0.3647,0.6827,Wed,0
2,81,1A,Mail,0.919,0.6423,Fri,1
54,13,1A,Express,0.4604,0.2755,Wed,0
35,24,1A,Express,0.4884,0.5793,Mon,0
16,78,3A,Duronto,0.8863,0.1332,Thu,1
41,89,1A,Superfast,0.0625,0.9189,Thu,0
36,99,3A,Duronto,0.6087,0.9512,Wed,1
33,74,1A,Express,0.5602,0.963,Tue,0
4,100,3A,Express,0.401,0.6983,Thu,1
33,104,3A,Duronto,0.4319,0.4796,Wed,0
14,100,3A,Rajdhani,0.689,0.9401,Mon,0
21,70,SL,Express,0.5691,0.0476,Tue,0
48,17,2A,Express,0.6555,0.4747,Fri,0
20,49,2A,Mail,0.4402,0.8192,Thu,1
56,19,2A,Superfast,0.4025,0.4533,Wed,0
8,55,SL,Duronto,0.5192,0.8293,Thu,1
7,1,SL,Express,0.4259,0.9673,Wed,1
3,25,SL,Rajdhani,0.8452,0.2476,Mon,1
17,22,1A,Rajdhani,0.8722,0.1807,Mon,0
33,31,1A,Mail,0.0739,0.9477,Wed,0
48,12,1A,Rajdhani,0.0591,0.2235,Sun,0
12,12,1A,Duronto,0.2889,0.6282,Wed,0
59,16,1A,Rajdhani,0.0861,0.4407,Fri,0
51,88,2A,Mail,0.5398,0.3577,Thu,1
22,57,2A,Mail,0.0213,0.13,Sun,0
55,85,2A,Rajdhani,0.7849,0.5714,Mon,0
22,26,2A,Express,0.649,0.3096,Mon,1
46,16,2A,Rajdhani,0.2118,0.4497,Wed,0
30,89,SL,Mail,0.3295,0.6482,Mon,0
38,37,SL,Express,0.3056,0.9884,Mon,1
38,13,1A,Mail,0.9226,0.3466,Sat,0
45,116,2A,Express,0.887,0.3915,Fri,0
51,13,1A,Rajdhani,0.5643,0.3868,Mon,0
54,11,SL,Superfast,0.364,0.4523,Mon,0
8,68,1A,Duronto,0.4618,0.5349,Fri,1
27,100,2A,Express,0.5679,0.0305,Sun,0
27,67,2A,Mail,0.4926,0.8415,Thu,0
34,54,2A,Mail,0.0625,0.586,Fri,0
21,62,SL,Superfast,0.4628,0.4247,Sun,1
30,28,1A,Mail,0.9201,0.0015,Wed,0
33,88,3A,Mail,0.4086,0.2909,Wed,0
28,44,3A,Mail,0.7011,0.2906,Mon,1
47,3,3A,Express,0.9971,0.6926,Sun,0
33,113,3A,Express,0.5525,0.16,Sat,0
5,15,3A,Duronto,0.4835,0.0972,Tue,1
60,113,SL,Superfast,0.2697,0.7345,Sat,0
48,65,2A,Rajdhani,0.2293,0.4811,Mon,0
19,22,3A,Superfast,0.5557,0.7644,Sat,0
4,67,3A,Duronto,0.6762,0.2132,Tue,1
35,19,3A,Express,0.4279,0.1491,Fri,0
49,16,1A,Express,0.0018,0.0679,Fri,0
17,51,2A,Superfast,0.5602,0.4035,Sun,0
44,5,3A,Rajdhani,0.5716,0.5052,Wed,1
28,81,SL,Express,0.0731,0.4608,Tue,0
30,83,2A,Express,0.1016,0.755,Wed,0
29,38,2A,Superfast,0.3046,0.6365,Wed,0
46,108,2A,Superfast,0.598,0.3373,Fri,0
53,104,1A,Rajdhani,0.1766,0.4967,Wed,0
6,33,2A,Rajdhani,0.3443,0.2586,Thu,1
35,103,3A,Superfast,0.1472,0.5771,Mon,1
60,109,3A,Rajdhani,0.3356,0.1118,Mon,0
41,53,1A,Duronto,0.7284,0.0628,Thu,0
37,87,SL,Superfast,0.3735,0.7179,Sun,1
24,81,1A,Mail,0.8175,0.7042,Tue,1
29,93,1A,Rajdhani,0.9274,0.5877,Sat,0
49,64,3A,Superfast,0.3072,0.3011,Fri,0
46,86,2A,Mail,0.6216,0.1653,Tue,0
53,28,1A,Duronto,0.2625,0.4493,Sun,0
31,40,SL,Duronto,0.5689,0.1117,Wed,0
35,104,3A,Express,0.1193,0.644,Fri,1
60,62,2A,Mail,0.6023,0.5315,Wed,0
33,31,SL,Mail,0.1726,0.4366,Wed,1
52,65,1A,Mail,0.3936,0.0295,Wed,0
21,111,SL,Duronto,0.2367,0.7005,Sat,0
32,99,1A,Express,0.7955,0.8774,Wed,1
23,44,1A,Duronto,0.1817,0.6958,Wed,0
33,16,1A,Superfast,0.9634,0.5411,Tue,1
3,42,1A,Mail,0.1191,0.7466,Mon,1
18,118,1A,Mail,0.4138,0.7347,Sun,1
25,65,3A,Express,0.7682,0.7408,Fri,0
42,67,1A,Express,0.1171,0.224,Wed,0
31,107,2A,Mail,0.3144,0.132,Tue,0
54,33,1A,Duronto,0.4528,0.1234,Mon,0
58,0,3A,Express,0.7623,0.0864,Fri,0
3,22,SL,Mail,0.7874,0.8815,Fri,1
40,5,2A,Superfast,0.8555,0.5045,Fri,1
46,15,SL,Express,0.3064,0.1843,Sun,0
24,1,SL,Rajdhani,0.0153,0.4214,Mon,1
50,109,2A,Superfast,0.7195,0.0742,Sat,0
32,115,3A,Mail,0.1731,0.1868,Mon,0
47,75,1A,Express,0.3901,0.7497,Tue,0
22,26,1A,Express,0.8049,0.5877,Thu,1
23,18,1A,Duronto,0.6105,0.1589,Sun,1
2,27,SL,Mail,0.8735,0.5872,Sun,1
27,34,2A,Rajdhani,0.653,0.5467,Sat,0
42,114,1A,Mail,0.3825,0.6614,Thu,0
2,106,1A,Express,0.0332,0.9472,Sat,1
26,67,3A,Express,0.0148,0.1474,Thu,0
17,48,3A,Rajdhani,0.2517,0.8944,Mon,0
40,112,SL,Superfast,0.6466,0.2731,Mon,0
33,6,2A,Mail,0.7141,0.3295,Sun,0
9,36,3A,Mail,0.3442,0.4712,Thu,1
43,114,2A,Mail,0.8458,0.7711,Sat,1
54,24,3A,Duronto,0.9434,0.7115,Wed,0
48,116,2A,Rajdhani,0.2982,0.4803,Sun,0
39,114,2A,Superfast,0.3519,0.814,Thu,0
29,40,2A,Mail,0.4054,0.6136,Fri,0
42,80,SL,Superfast,0.2779,0.9405,Fri,0
55,61,3A,Superfast,0.6466,0.4638,Fri,0
26,40,3A,Superfast,0.909,0.754,Wed,0
35,13,1A,Express,0.4275,0.0653,Fri,0
50,100,1A,Mail,0.1801,0.3213,Thu,0
25,53,SL,Mail,0.1952,0.9163,Wed,1
24,1,3A,Mail,0.7218,0.5167,Sat,1
13,87,1A,Rajdhani,0.7342,0.9514,Sat,1
60,78,3A,Duronto,0.4759,0.0065,Tue,0
58,47,1A,Duronto,0.7607,0.4712,Sun,0
7,50,SL,Duronto,0.5108,0.7267,Mon,1
57,96,1A,Duronto,0.3049,0.3279,Sat,0
